category,question
Teamwork,Tell me about a time you worked with a difficult team member.
Teamwork,Tell me about a time you worked with a difficult team member. What was the outcome?
Teamwork,Describe a situation where you had to collaborate with people from different backgrounds.
Teamwork,Describe a situation where you had to collaborate with people from different backgrounds. What was the outcome?
Teamwork,Tell me about a time when your team disagreed on a decision.
Teamwork,Tell me about a time when your team disagreed on a decision. What was the outcome?
Teamwork,Describe a time you helped a teammate succeed.
Teamwork,Describe a time you helped a teammate succeed. What was the outcome?
Teamwork,Tell me about a time when you had to step up to support your team.
Teamwork,Tell me about a time when you had to step up to support your team. What was the outcome?
Leadership,Tell me about a time you led a project.
Leadership,Tell me about a time you led a project. What was the outcome?
Leadership,Describe a situation where you had to motivate others.
Leadership,Describe a situation where you had to motivate others. What was the outcome?
Leadership,Tell me about a time you took initiative without being asked.
Leadership,Tell me about a time you took initiative without being asked. What was the outcome?
Leadership,Describe a time when you had to make a difficult decision as a leader.
Leadership,Describe a time when you had to make a difficult decision as a leader. What was the outcome?
Leadership,Tell me about a time you influenced others to adopt your idea.
Leadership,Tell me about a time you influenced others to adopt your idea. What was the outcome?
Problem Solving,Tell me about a time you solved a complex problem.
Problem Solving,Tell me about a time you solved a complex problem. What was the outcome?
Problem Solving,Describe a situation where you had limited information but still had to make a decision.
Problem Solving,Describe a situation where you had limited information but still had to make a decision. What was the outcome?
Problem Solving,Tell me about a time you identified a problem before others noticed it.
Problem Solving,Tell me about a time you identified a problem before others noticed it. What was the outcome?
Problem Solving,Describe a time when your solution initially failed.
Problem Solving,Describe a time when your solution initially failed. What was the outcome?
Problem Solving,Tell me about a creative solution you developed.
Problem Solving,Tell me about a creative solution you developed. What was the outcome?
Conflict Resolution,Tell me about a time you resolved a conflict at work or school.
Conflict Resolution,Tell me about a time you resolved a conflict at work or school. What was the outcome?
Conflict Resolution,Describe a situation where two teammates disagreed and you helped resolve it.
Conflict Resolution,Describe a situation where two teammates disagreed and you helped resolve it. What was the outcome?
Conflict Resolution,Tell me about a time you had to give difficult feedback.
Conflict Resolution,Tell me about a time you had to give difficult feedback. What was the outcome?
Conflict Resolution,Describe a situation where you had to remain calm during a disagreement.
Conflict Resolution,Describe a situation where you had to remain calm during a disagreement. What was the outcome?
Conflict Resolution,Tell me about a time you turned a negative interaction into a positive outcome.
Conflict Resolution,Tell me about a time you turned a negative interaction into a positive outcome. What was the outcome?
Adaptability,Tell me about a time you had to adapt to a major change.
Adaptability,Tell me about a time you had to adapt to a major change. What was the outcome?
Adaptability,Describe a time when priorities suddenly shifted.
Adaptability,Describe a time when priorities suddenly shifted. What was the outcome?
Adaptability,Tell me about a time you had to learn something quickly.
Adaptability,Tell me about a time you had to learn something quickly. What was the outcome?
Adaptability,Describe a time when you had to work outside your comfort zone.
Adaptability,Describe a time when you had to work outside your comfort zone. What was the outcome?
Adaptability,Tell me about a time you adjusted your approach after receiving feedback.
Adaptability,Tell me about a time you adjusted your approach after receiving feedback. What was the outcome?
Time Management,Tell me about a time you had to manage multiple deadlines.
Time Management,Tell me about a time you had to manage multiple deadlines. What was the outcome?
Time Management,Describe a situation where you had to prioritize tasks under pressure.
Time Management,Describe a situation where you had to prioritize tasks under pressure. What was the outcome?
Time Management,Tell me about a time you missed a deadline and how you handled it.
Time Management,Tell me about a time you missed a deadline and how you handled it. What was the outcome?
Time Management,Describe a time you improved your productivity.
Time Management,Describe a time you improved your productivity. What was the outcome?
Time Management,Tell me about a time you had to balance competing responsibilities.
Time Management,Tell me about a time you had to balance competing responsibilities. What was the outcome?
Communication,Tell me about a time you explained a complex idea to someone.
Communication,Tell me about a time you explained a complex idea to someone. What was the outcome?
Communication,Describe a situation where miscommunication caused a problem.
Communication,Describe a situation where miscommunication caused a problem. What was the outcome?
Communication,Tell me about a time you had to persuade someone.
Communication,Tell me about a time you had to persuade someone. What was the outcome?
Communication,Describe a time you had to present information to a group.
Communication,Describe a time you had to present information to a group. What was the outcome?
Communication,Tell me about a time you handled a difficult conversation.
Communication,Tell me about a time you handled a difficult conversation. What was the outcome?
Failure & Learning,Tell me about a time you failed.
Failure & Learning,Tell me about a time you failed. What was the outcome?
Failure & Learning,Describe a time when you made a mistake at work or school.
Failure & Learning,Describe a time when you made a mistake at work or school. What was the outcome?
Failure & Learning,Tell me about a time you received critical feedback.
Failure & Learning,Tell me about a time you received critical feedback. What was the outcome?
Failure & Learning,Describe a time when something didn’t go as planned.
Failure & Learning,Describe a time when something didn’t go as planned. What was the outcome?
Failure & Learning,Tell me about a lesson you learned the hard way.
Failure & Learning,Tell me about a lesson you learned the hard way. What was the outcome?
Initiative,Tell me about a time you went above and beyond expectations.
Initiative,Tell me about a time you went above and beyond expectations. What was the outcome?
Initiative,Describe a time when you identified an opportunity for improvement.
Initiative,Describe a time when you identified an opportunity for improvement. What was the outcome?
Initiative,Tell me about a project you started on your own.
Initiative,Tell me about a project you started on your own. What was the outcome?
Initiative,Describe a time you solved a problem before being asked.
Initiative,Describe a time you solved a problem before being asked. What was the outcome?
Initiative,Tell me about a time you improved a process.
Initiative,Tell me about a time you improved a process. What was the outcome?
Customer/Stakeholder Focus,Tell me about a time you helped someone solve a problem.
Customer/Stakeholder Focus,Tell me about a time you helped someone solve a problem. What was the outcome?
Customer/Stakeholder Focus,Describe a situation where you exceeded someone’s expectations.
Customer/Stakeholder Focus,Describe a situation where you exceeded someone’s expectations. What was the outcome?
Customer/Stakeholder Focus,Tell me about a time you had to understand someone else’s needs.
Customer/Stakeholder Focus,Tell me about a time you had to understand someone else’s needs. What was the outcome?
Customer/Stakeholder Focus,Tell me about a time you delivered value to a user or customer.
Customer/Stakeholder Focus,Tell me about a time you delivered value to a user or customer. What was the outcome?
